,county,2012_reg_voters,2012_voted_num,2012_voted_perc,2012_early_vote_num,2012_early_vote_perc,2016_reg_voters,2016_voted_num,2016_voted_perc,2016_early_vote_num,2016_early_vote_perc,2020_reg_voters,2020_voted_num,2020_voted_perc,2020_early_vote_num,2020_early_vote_perc
218,cass county,"18,929","11,769",62.17%,"5,138",27.14%,"20,040","11,654",58.15%,"7,491",37.38%,"20,889","13,856",66.33%,"10,773",77.75%
86,castro county,"4,163","2,119",50.90%,859,20.63%,"3,959","1,996",50.42%,754,19.05%,",3853","2,082",54.04%,"1,106",53.12%
146,chambers county,"24,445","14,698",60.13%,"10,793",44.15%,"26,930","16,716",62.07%,"12,859",47.75%,"30,709","21,641",70.47%,"19,047",79.46%
179,cherokee county,"27,092","16,387",60.49%,"9,741",35.96%,"27,788","16,764",60.33%,"11,209",40.34%,"29,166","19,457",66.71%,"15,460",79.46%
165,childress county,"3,567","1,996",55.96%,"1,101",30.87%,"3,564","2,084",58.47%,"1,281",35.94%,"3,658","2,259",61.76%,"1,785",79.02%
245,clay county,"7,793","5,057",64.89%,"1,822",23.38%,"7,656","5,013",65.48%,"2,091",27.31%,"7,959","5,736",72.07%,"4,166",72.63%
231,cochran county,"1,814",916,50.50%,366,20.18%,"1,777",901,50.7%,424,23.86%,"1,771",996,56.24%,676,67.87%
39,coke county,"2,326","1,406",60.45%,731,31.43%,"2,192","1,423",64.92%,743,33.9%,"2,414","1,794",74.32%,"1,278",71.24%
254,coleman county,"6,052","3,485",57.58%,"2,239",37.00%,"5,942","3,642",61.29%,"2,602",43.79%,"5,960","4,120",69.13%,"3,545",86.04%
137,collin county,"458,872","301,101",65.62%,"222,034",48.39%,"537,358","356,688",66.38%,"297,977",55.45%,"648,670","48,5323",74.82%,"449,039",92.52%
229,collingsworth county,"1,895","1,150",60.69%,619,32.66%,"1,901","1,156",60.81%,621,32.67%,",1942","1,218",62.72%,845,69.38%
145,colorado county,"13,349","8,095",60.64%,"3,881",29.07%,"13,871","8,500",61.28%,"4,815",34.71%,"14,378","9,912",68.94%,"8,023",80.94%
51,comal county,"78,543","51,476",65.54%,"38,850",49.46%,"92,403","61,960",67.05%,"50,053",54.17%,"115,876","87,942",75.89%,"79,588",90.50%
164,comanche county,"8,783","4,900",55.79%,"2,446",27.85%,"8,911","5,212",58.49%,"3,290",36.92%,"9,562","6,084",63.63%,"4,680",76.92%
54,concho county,"1,696","1,001",59.02%,345,20.34%,"1,662","1,068",64.26%,472,28.4%,"1,757","1,268",72.17%,783,61.75%
172,cooke county,"23,408","14,293",61.06%,"6,302",26.92%,"25,086","15,939",63.54%,"8,702",34.69%,"27,268","18,974",69.58%,"13,638",71.88%
12,coryell county,"35,587","16,560",46.53%,"10,122",28.44%,"37,644","18,226",48.42%,"13,195",35.05%,"41,450","23,425",56.51%,"19,277",82.29%
177,cottle county,"1,136",739,65.05%,418,36.80%,"1,072",583,54.38%,300,27.99%,"1,041",665,63.88%,492,73.98%
11,crane county,"2,427","1,283",52.86%,776,31.97%,"2,679","1,382",51.59%,847,31.62%,"2,663",921,34.59%,672,72.96%
189,crockett county,"2,585","1,457",56.36%,836,32.34%,"2,553","1,395",54.64%,897,35.14%,"2,473","1,573",63.61%,"1,212",77.05%
63,crosby county,"3,727","1,787",47.95%,829,22.24%,"3,604","1,726",47.89%,863,23.95%,"3,629","2,130",58.69%,"1,565",73.47%
143,culberson county,"1,759",876,49.80%,413,23.48%,"1,762",766,43.47%,396,22.47%,"1,709",864,50.56%,558,64.58%
252,dallam county,"3,106","1,534",49.39%,579,18.64%,"3,151",766,43.47%,396,22.47%,"3,046","1,605",52.69%,"1,029",64.11%
58,dallas county,"1,177,468","705,941",59.95%,"444,619",37.76%,"1,287,082","750,649",58.32%,"542,085",42.12%,"1,398,469","917,245",65.59%,"800,050",87.22%
169,dawson county,"7,634","3,640",47.68%,"2,028",26.57%,"7,343","3,563",48.52%,"2,324",31.65%,"7,104","3,789",53.34%,"2,918",77.01%
107,deaf smith county,"8,505","4,309",50.66%,448,   5.27%,"8,669","4,216",48.63%,"2,851",32.89%,"8,900","4,608",51.78%,"3,634",78.86%
80,delta county,"3,322","2,020",60.81%,912,27.45%,"3,845","2,281",59.32%,"1,259",32.74%,"3,949","2,587",65.51%,"1,829",70.70%
132,denton county,"386,742","240,125",62.09%,"167,692",43.36%,"464,790","296,968",63.89%,"224,084",48.21%,"3,949","2,587",65.51%,"1,829",70.70%
19,dewitt county,"11,943","6,625",55.47%,"3,615",30.27%,"11,856","6,822",57.54%,"4,094",34.53%,"12,094","8,118",67.12%,"6,229",76.73%
126,dickens county,"1,371","1,019",74.33%,513,37.42%,"1,330",909,68.35%,450,33.83%,"1,328",985,74.17%,676,68.63%
113,dimmit county,"6,963","2,917",41.89%,"1,263",18.14%,"7,440","3,225",43.35%,"1,663",22.35%,"7,341","3,666",49.94%,"2,455",66.97%
197,donley county,"2,468","1,534",62.16%,806,32.66%,"2,312","1,464",63.32%,891,38.54%,"2,322","1,648",70.97%,"1,158",70.27%
151,duval county,"8,828","4,343",49.20%,"2,498",28.30%,"8,357","4,160",49.78%,"2,594",31.04%,"8,346","5,050",60.51%,"3,945",78.12%
225,eastland county,"10,581","6,494",61.37%,"3,580",33.83%,"11,683","6,960",59.57%,"4,312",36.91%,"12,230","8,271",67.63%,"6,521",78.84%
158,ector county,"66,571","32,414",48.69%,"21,398",32.14%,"73,142","36,458",49.85%,"25,860",35.36%,"80,872","44,417",54.92%,"35,430",79.77%
101,edwards county,"1,565",883,56.42%,501,32.01%,"1,514","1,067",70.48%,764,50.46%,"1,499","1,064",70.98%,773,72.65%
154,el paso county,"383,737","171,070",44.58%,"94,468",24.62%,"428,319","210,502",49.15%,"145,729",34.02%,"488,470","254,029",52.01%,"211,045",83.08%
32,ellis county,"89,133","53,773",60.33%,"34,455",38.66%,"102,235","63,464",62.08%,"48,365",47.31%,"120,188","85,371",71.03%,"75,075",87.94%
174,erath county,"20,801","12,469",59.94%,"7,930",38.12%,"21,537","13,887",64.48%,"9,779",45.41%,"23,935","16,837",70.34%,"13,626",80.93%
70,falls county,"9,718","5,434",55.92%,"2,130",21.92%,"10,135","5,242",51.72%,"2,344",23.13%," 10,361","6,133",59.19%,"3,683",60.05%
247,fannin county,"19,396","10,782",55.59%,"5,096",26.27%,"20,565","12,021",58.45%,"7,073",34.39%,"22,199","14,969",67.43%,"11,041",73.76%
17,fayette county,"15,825","10,539",66.60%,"4,634",29.28%,"16,279","11,064",67.96%,"5,948",36.54%,"17,398","12,924",74.28%,"9,289",71.87%
199,fisher county,"2,811","1,629",57.95%,634,22.55%,"2,769","1,729",62.44%,"1,041",37.59%,"2,646","1,826",69.01%,"1,304",71.41%
150,floyd county,"4,310","2,085",48.38%,"1,328",30.81%,"4,068","1,958",48.13%,"1,351",33.21%,3850,2035,52.86%,1663,81.72%
162,foard county,"1,076",493,45.82%,241,22.40%,948,511,53.9%,287,30.27%,884,551,62.33%,412,74.77%
202,fort bend county,"339,694","219,299",64.56%,"161,730",47.61%,"404,035","261,761",64.79%,"210,287",52.05%,"482,368","356,908",73.99%,"327,292",91.70%
4,franklin county,"6,663","4,256",63.88%,"2,350",35.27%,"6,798","4,377",64.39%,"2,746",40.39%,"7,061","5,000",70.81%,"3,938",78.76%
144,freestone county,"11,397","7,562",66.35%,"4,425",38.83%,"11,987","7,608",63.47%,"4,775",39.83%,"12,481","8,678",69.53%,"6,531",75.26%
217,frio county,"10,368","3,968",38.27%,"1,290",12.44%,"9,130","2,683",29.39%,"2,186",23.94%,"8,984","5,264",58.59%,3669,87.53%
248,gaines county,"7,679","4,066",52.95%,"2,390",31.12%,"8,616","4,620",53.62%,"3,403",39.5%,"9,701","5,960",61.44%,"5,217",87.53%
187,galveston county,"185,379","109,252",58.93%,"83,023",44.79%,"208,232","124,547",59.81%,"99,979",48.01%,"228,482","153,843",67.33%,"139,837",90.90%
209,garza county,"2,824","1,556",55.10%,950,33.64%,"2,721","1,476",54.24%,919,33.77%,2681,1651,61.58%,1235,74.80%
190,gillespie county,"18,121","12,551",69.26%,"7,956",43.90%,"18,968","13,209",69.64%,"8,976",47.32%,"20,404","15,817",77.52%,"12,665",80.07%
119,glasscock county,776,578,74.48%,300,38.66%,769,604,78.54%,325,42.26%,800,653,81.63%,487,74.58%
106,goliad county,"5,514","3,458",62.71%,"2,041",37.01%,"5,580","3,713",66.54%,"2,455",44%,"5,766","3,436",64.09%,,
49,gonzales county,"12,438","6,050",48.64%,"3,508",28.20%,"12,272","6,323",51.52%,"4,173",34%,"12,629","7,534",59.66%,"6,010",79.77%
249,gray county,"12,830","7,373",57.47%,"4,410",34.37%,"12,725","7,398",58.14%,"5,178",40.69%,"12,406","7,745",62.43%,"5,742",74.14%
206,grayson county,"74,226","42,207",56.86%,"26,265",35.39%,"78,686","47,164",59.94%,"33,710",42.84%,"86,740","58,760",67.74%,"50,301",85.60%
75,gregg county,"68,161","41,366",60.69%,"31,276",45.89%,"69,403","41,618",59.97%,"33,905",48.85%,"72,867","47,700",65.46%,"42,687",89.49%
18,grimes county,"14,959","8,603",57.51%,"4,252",28.42%,"15,713","9,533",60.67%,"5,472",34.82%,"17,877","12,398",69.35%,"9,508",76.69%
66,guadalupe county,"79,474","49,249",61.97%,"33,697",42.40%,"93,543","57,534",61.51%,"44,772",47.86%,"111,142","77,382",69.62%,"68,026",87.91%
97,hale county,"19,914","8,765",44.01%,"5,172",25.97%,"19,473","8,826",45.32%,"6,082",31.23%,"18,997","9,560",50.32%,"7,496",78.41%
166,hall county,"2,050","1,109",54.10%,528,25.76%,"2,021","1,089",53.88%,588,29.09%,"1,926","1,165",60.49%,808,69.36%
227,hamilton county,"5,564","3,552",63.84%,"1,934",34.76%,"5,467","3,616",66.14%,"2,166",39.62%,"5,832","4,347",74.54%,"3,304",76.01%
230,hansford county,"3,077","1,960",63.70%,866,28.14%,"3,065","1,947",63.52%,993,32.4%,"3,009","2,046",68.00%,"1,363",66.62%
61,hardeman county,"2,612","1,495",57.24%,751,28.75%,"2,536","1,513",59.66%,869,34.27%,"2,486","1,580",63.56%,"1,014",64.18%
127,hardin county,"35,423","21,293",60.11%,"11,508",32.49%,"38,154","22,768",59.67%,"14,566",38.18%,"39,952","27,555",68.97%,"22,767",82.62%
251,harris county,"2,000,011","1,185,722",59.29%,"757,640",37.88%,"2,234,671","1,304,480",58.37%,"953,593",42.67%,"2,480,522","1,633,557",65.86%,"1,434,022",87.79%
210,harrison county,"41,078","26,104",63.55%,"17,774",43.27%,"44,622","26,487",59.36%,"20,254",45.39%,"45,933","29,462",64.14%,"25,555",87.79%
71,hartley county,"2,863","1,904",66.50%,"1,037",36.22%,"2,975","1,949",65.51%,"1,090",36.64%,"2,909","2,076",71.36%,"1,622",78.13%
141,haskell county,"3,654","2,009",54.98%,732,20.03%,"3,394","1,770",52.15%,762,22.45%,"3,377","2,211",65.47%,"1,374",62.14%
102,hays county,"103,491","58,831",56.85%,"39,971",38.62%,"121,326","71,945",59.3%,"55,237",45.53%,"152,840","108,822",71.20%,"98,242",90.28%
7,hemphill county,"2,211","1,509",68.25%,655,29.62%,"2,368","1,690",71.37%,"1,046",44.17%,"2,355","1,720",73.04%,"1,175",68.31%
85,henderson county,"49,298","27,584",55.95%,"15,787",32.02%,"50,692","29,855",58.89%,"21,105",41.63%,"54,663","36,197",66.22%,"29,705",82.06%
224,hidalgo county,"304,823","138,988",45.60%,"101,388",33.26%,"338,562","172,990",51.1%,"137,720",40.68%,"391,309","219,433",56.08%,"187,652",85.52%
92,hill county,"21,985","12,034",54.74%,"5,297",24.09%,"22,825","12,915",56.58%,"6,651",29.14%,"23,625","14,843",62.83%,"9,632",64.89%
138,hockley county,"13,484","7,126",52.85%,"4,168",30.91%,"13,723","7,292",53.14%,"4,838",35.25%,"13,781","8,091",58.71%,"6,315",78.05%
117,hood county,"34,955","22,450",64.23%,"14,434",41.29%,"38,284","26,222",68.49%,"19,714",51.49%,"44,831","32,241",71.92%,"25,617",79.45%
220,hopkins county,"21,234","12,749",60.04%,"7,378",34.75%,"22,495","13,533",60.16%,"8,696",38.66%,"23,954","15,932",66.51%,"12,965",81.38%
215,houston county,"13,291","8,142",61.26%,"4,410",33.18%,"13,157","8,353",63.49%,"5,151",39.15%,"13,444","9,425",70.11%,"7,088",75.20%
153,howard county,"16,931","5,145",30.39%,"5,139",30.35%,"17,041","8,719",51.16%,"6,614",38.81%,"17,526","10,043",57.30%,"8,314",82.78%
240,hudspeth county,"1,668",861,51.62%,215,12.89%,"1,840",871,47.34%,266,14.46%,"2,085","1,157",55.49%,591,51.08%
57,hunt county,"48,792","27,993",57.37%,"13,506",27.68%,"52,384","31,312",59.77%,"17,313",33.05%,"59,367","38,517",64.88%,"28,261",73.37%
104,hutchinson county,"13,807","7,918",57.35%,"4,834",35.01%,"13,620","8,137",59.74%,"5,458",40.07%,"13,533","8,741",64.59%,"7,006",80.15%
114,irion county,"1,307",788,60.29%,388,29.69%,"1,338",766,57.25%,502,37.52%,"1,298",889,68.49%,670,75.37%
90,jack county,"4,823","2,908",60.29%,"1,649",34.19%,"5,080","3,350",65.94%,"2,325",45.77%,"5,254","3,779",71.93%,"2,941",77.82%
188,jackson county,"8,832","5,018",56.82%,"2,500",28.31%,"9,095","5,294",58.21%,"3,224",35.45%,"9,482","6,210",65.49%,"5,098",82.09%
203,jasper county,"22,233","13,467",60.57%,"8,100",36.43%,"23,642","13,377",56.58%,"8,072",34.14%,"23,374","15,469",66.18%,"12,707",82.14%
195,jeff davis county,"1,569","1,190",75.84%,802,51.12%,"1,655","1,190",71.9%,840,50.76%,"1,670","1,304",78.08%,"1,039",79.68%
208,jefferson county,"147,265","88,557",60.13%,"67,617",45.92%,"149,233","87,542",58.66%,"70,819",47.46%,"149,372","94,665",63.38%,"84,167",88.91%
2,jim hogg county,"3,804","1,667",43.82%,590,15.51%,"3,942","2,119",53.75%,"1,331",33.76%,"3,800","2,034",53.53%,"1,444",70.99%
185,jim wells county,"25,562","11,163",43.67%,"2,619",10.25%,"26,508","12,361",46.63%,"3,048",11.5%,"26,636","13,507",50.71%,"9,935",73.55%
250,johnson county,"81,684","48,767",59.70%,"31,432",38.48%,"91,725","57,572",62.77%,"43,206",47.1%,"105,574","71,864",68.07%,"61,125",85.06%
53,jones county,"9,979","5,562",55.74%,"1,960",19.64%,"10,101","5,954",58.94%,"3,018",29.88%,"9,635","6,691",69.44%,"4,384",65.52%
41,karnes county,"7,831","4,185",53.44%,"1,399",17.86%,"7,934","4,191",52.82%,"2,134",26.9%,"8,359","5,229",62.56%,"3,671",70.20%
131,kaufman county,"59,604","34,604",58.06%,"22,013",36.93%,"67,544","41,198",60.99%,"30,065",44.51%,"81,901","56,435",68.91%,"48,422",85.80%
30,kendall county,"25,711","17,730",68.96%,"12,342",48.00%,"29,077","20,069",69.02%,"16,526",56.84%,"33,836","26,419",78.08%,"23,524",89.04%
223,kenedy county,361,166,45.98%,63,17.45%,318,186,58.49%,82,25.79%,296,194,65.54%,129,66.49%
22,kent county,626,404,64.54%,214,34.19%,615,434,70.57%,261,42.44%,592,462,78.04%,324,70.13%
123,kerr county,"32,854","21,816",66.40%,"16,227",49.39%,"34,644","23,206",66.98%,"18,131",52.34%,"37,726","27,710",73.45%,"24,035",86.74%
133,kimble county,"2,947","1,891",64.17%,"1,182",40.11%,"2,916","1,952",66.94%,"1,287",44.14%,"3,113","2,292",73.63%,"1,806",78.80%
216,king county,186,145,77.96%,76,40.86%,202,159,78.71%,110,54.46%,183,159,86.89%,0,0.00%
184,kinney county,"2,371","1,425",60.10%,908,38.30%,"2,243","1,424",63.49%,981,43.74%,"2,270","1,603",70.62%,"1,327",82.78%
55,kleberg county,"17,692","8,902",50.32%,"4,872",27.54%,"17,998","9,506",52.82%,"6,135",34.09%,"18,749","11,041",58.89%,"8,893",80.55%
91,knox county,"2,307","1,510",65.45%,208,   9.02%,"2,445","1,367",55.91%,381,15.58%,"2,391","1,456",60.90%,772,53.02%
33,la salle county,"4,002","1,646",41.13%,724,18.09%,"4,173","2,053",49.2%,"1,125",26.96%,"4,426","2,406",54.36%,"1,613",67.04%
120,lamar county,"28,901","17,177",59.43%,"9,277",32.10%,"31,011","18,590",59.95%,"12,084",38.97%,"32,390","21,338",65.88%,"16,690",78.22%
16,lamb county,"8,447","4,089",48.41%,"1,650",19.53%,"8,305","3,905",47.02%,"1,704",20.52%,"8,085","4,394",54.35%,"3,095",70.44%
112,lampasas county,"12,815","7,142",55.73%,"3,881",30.28%,"13,786","8,176",59.31%,"5,806",42.12%,"15,424","10,373",67.25%,"8,639",83.28%
242,lavaca county,"13,112","8,283",63.17%,"3,571",27.23%,"13,253","8,653",65.29%,"4,450",33.58%,"13,661","10,195",74.63%,"7,338",71.98%
62,lee county,"9,681","6,216",64.21%,"3,194",32.99%,"10,298","6,531",63.42%,"3,852",37.41%,"11,145","8,075",72.45%,"6,548",81.09%
23,leon county,"10,884","6,942",63.78%,"2,985",27.43%,"11,159","7,439",66.66%,"3,721",33.35%,"11,727","8,672",73.95%,"5,708",65.82%
180,liberty county,"43,198","22,711",52.57%,"14,428",33.40%,"43,685","24,155",55.29%,"17,158",39.28%,"46,155","29,314",63.51%,"24,370",83.13%
47,limestone county,"13,501","7,563",56.02%,"3,958",29.32%,"13,667","7,648",55.96%,"4,638",33.94%,"13,963","9,092",65.11%,"6,885",75.73%
43,lipscomb county,"1,926","1,168",60.64%,292,15.16%,"2,048","1,332",65.04%,419,20.46%,"1,977","1,351",68.34%,568,42.04%
155,live oak county,"7,162","4,108",57.36%,"1,922",26.84%,"7,255","4,285",59.06%,"2,387",32.9%,"7,572","5,053",66.73%,"3,438",68.04%
40,llano county,"14,270","9,502",66.59%,"7,014",49.15%,"15,160","10,430",68.8%,"8,419",55.53%,"16,688","13,278",79.57%,"11,919",89.77%
183,loving county,123,64,52.03%,34,27.64%,110,64,58.18%,31,28.18%,111,66,59.46%,45,68.18%
37,lubbock county,"155,708","90,652",58.22%,"65,512",42.07%,"166,489","98,847",59.37%,"77,029",46.27%,"183,320","120,204",65.57%,"106,281",88.42%
78,lynn county,"3,874","1,955",50.46%,979,25.27%,"3,893","2,009",51.61%,835,21.45%,"4,028","2,293",56.93%,"1,273",55.52%
118,madison county,"6,637","4,025",60.64%,"2,555",38.50%,"7,193","4,284",59.56%,"2,842",39.51%,"7,822","5,289",67.62%,"4,377",82.76%
175,marion county,"7,206","4,271",59.27%,"2,098",29.11%,"7,258","4,212",58.03%,"2,404",33.12%,"7,596","4,844",63.77%,"3,723",76.86%
207,martin county,"3,003","1,593",53.05%,447,14.89%,"3,130","1,760",56.23%,"1,151",36.77%,"3,467","2,160",62.30%,"1,710",79.17%
29,mason county,"2,893","1,965",67.92%,"1,268",43.83%,"2,966","2,056",69.32%,"1,470",49.56%,"3,168","2,700",85.23%,"2,303",85.30%
228,matagorda county,"21,387","12,110",56.62%,"7,304",34.15%,"21,578","11,816",54.76%,"8,176",37.89%,"22,026","13,710",62.24%,"10,951",79.88%
135,maverick county,"27,910","10,562",37.84%,"5,731",20.53%,"30,689","13,588",44.28%,"8,926",29.09%,"33,050","15,338",46.41%,"11,383",74.21%
87,mcculloch county,"5,201","2,993",57.55%,"1,896",36.45%,"5,284","3,093",58.54%,"2,140",40.5%,"5,361","15,870",296.03%,"11,820",74.48%
6,mclennan county,"128,544","74,513",57.97%,"42,818",33.31%,"136,088","79,041",58.08%,"54,745",40.23%,"149,461","97,617",65.31%,"80,060",82.01%
73,mcmullen county,734,508,69.21%,253,34.47%,709,499,70.38%,309,43.58%,706,516,73.09%,366,70.93%
129,medina county,"27,315","15,960",58.43%,"10,941",40.05%,"30,318","17,203",56.74%,"12,664",41.77%,"33,763","22,568",66.84%,"19,935",88.33%
152,menard county,"1,638",846,51.65%,493,30.10%,"1,488",862,57.93%,556,37.37%,"3,429","2,502",72.97%,"1,949",77.90%
83,midland county,"73,644","44,277",60.12%,"31,580",42.88%,"79,919","49,079",61.41%,"38,628",48.33%,"90,392","58,620",64.85%,"49,815",84.98%
186,milam county,"14,517","8,222",56.64%,"4,660",32.10%,"14,794","8,629",58.33%,"5,824",39.37%,"15,838","10,523",66.44%,"8,902",84.60%
81,mills county,"3,434","2,201",64.09%,"1,477",43.01%,"3,441","2,242",65.16%,"1,502",43.65%,"3,429","2,502",72.97%,"1,949",77.90%
105,mitchell county,"4,583","2,312",50.45%,"1,313",28.65%,"4,495","2,194",48.81%,"1,281",28.5%,"4,524","2,578",56.98%,"1,894",73.47%
246,montague county,"12,876","7,741",60.12%,354,   2.75%,"13,320","8,604",64.59%,"5,885",44.18%,"14,001","9,812",70.08%,"8,042",81.96%
74,montgomery county,"264,980","172,894",65.25%,"121,200",45.74%,"311,880","204,404",65.54%,"154,646",49.59%,"370,060","271,175",73.28%,"236,503",87.21%
59,moore county,"9,424","4,983",52.88%,"2,408",25.55%,"9,667","5,279",54.61%,"3,231",33.42%,"9,995","5,502",55.05%,"3,753",68.21%
168,morris county,"8,411","5,131",61.00%,"2,486",29.56%,"8,561","4,970",58.05%,"2,654",31%,"8,583","5,548",64.64%,"4,130",74.44%
79,motley county,821,600,73.08%,306,37.27%,857,620,72.35%,363,42.36%,859,652,75.90%,443,67.94%
121,nacogdoches county,"31,129","20,613",66.22%,"12,717",40.85%,"34,769","22,573",64.92%,"15,349",44.15%,"38,786","26,755",68.98%,"22,394",83.70%
159,navarro county,"27,362","15,317",55.98%,"7,881",28.80%,"27,786","16,382",58.96%,"10,024",36.08%,"29,959","19,105",63.77%,"14,686",76.87%
5,newton county,"9,035","6,210",68.73%,"2,342",25.92%,"9,581","4,017",41.93%,"2,484",25.93%,"9,400","6,096",64.85%,"4,081",66.95%
161,nolan county,"8,488","4,570",53.84%,"1,991",23.46%,"8,748","4,784",54.69%,"2,531",28.93%,"8,871","5,352",60.33%,"3,565",66.61%
193,nueces county,"191,960","95,806",49.91%,"60,723",31.63%,"199,467","103,980",52.13%,"74,258",37.23%,"211,652","126,984",60.00%,"110,991",87.41%
170,ochiltree county,"5,127","2,992",58.36%,"1,442",28.13%,"5,295","3,001",56.68%,"1,680",31.73%,"5,192","3,155",60.77%,"2,242",71.06%
100,oldham county,"1,378",865,62.77%,326,23.66%,"1,413",948,67.09%,404,28.59%,"1,425","1,009",70.81%,623,61.74%
